   1,    1, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_001.png', cX=   7, cY=1184, Frame=   180
   1,    2, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_002.png', cX=  88, cY=1184, Frame=   181
   1,    3, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_003.png', cX= 167, cY=1182, Frame=   182
   1,    4, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_004.png', cX= 243, cY=1181, Frame=   183
   1,    5, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_005.png', cX= 317, cY=1179, Frame=   184
   1,    6, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_006.png', cX= 392, cY=1177, Frame=   185
   1,    7, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_007.png', cX= 465, cY=1175, Frame=   186
   1,    8, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_008.png', cX= 539, cY=1173, Frame=   187
   1,    9, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_009.png', cX= 612, cY=1172, Frame=   188
   1,   10, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_010.png', cX= 686, cY=1170, Frame=   189
   1,   11, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_011.png', cX= 758, cY=1169, Frame=   190
   1,   12, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_012.png', cX= 830, cY=1169, Frame=   191
   1,   13, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_013.png', cX= 901, cY=1168, Frame=   192
   1,   14, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_014.png', cX= 973, cY=1167, Frame=   193
   1,   15, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_015.png', cX=1043, cY=1166, Frame=   194
   1,   16, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_016.png', cX=1113, cY=1165, Frame=   195
   1,   17, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_017.png', cX=1183, cY=1165, Frame=   196
   1,   18, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_018.png', cX=1252, cY=1164, Frame=   197
   1,   19, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_019.png', cX=1321, cY=1164, Frame=   198
   1,   20, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_020.png', cX=1390, cY=1164, Frame=   199
   1,   21, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_021.png', cX=1458, cY=1163, Frame=   200
   1,   22, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 10\Images_001\Object_001\Image_022.png', cX=1527, cY=1163, Frame=   201
