   1,    1, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_001.png', cX=1596, cY= 163, Frame=   165
   1,    2, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_002.png', cX=1615, cY= 163, Frame=   166
   1,    3, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_003.png', cX=1634, cY= 163, Frame=   167
   1,    4, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_004.png', cX=1653, cY= 163, Frame=   168
   1,    5, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_005.png', cX=1672, cY= 164, Frame=   169
   1,    6, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_006.png', cX=1691, cY= 164, Frame=   170
   1,    7, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_007.png', cX=1709, cY= 164, Frame=   171
   1,    8, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_008.png', cX=1728, cY= 165, Frame=   172
   1,    9, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_009.png', cX=1746, cY= 165, Frame=   173
   1,   10, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_010.png', cX=1764, cY= 165, Frame=   174
   1,   11, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_011.png', cX=1781, cY= 165, Frame=   175
   1,   12, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_012.png', cX=1799, cY= 165, Frame=   176
   1,   13, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_013.png', cX=1817, cY= 166, Frame=   177
   1,   14, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_014.png', cX=1835, cY= 166, Frame=   178
   1,   15, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_015.png', cX=1853, cY= 166, Frame=   179
   1,   16, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_016.png', cX=1871, cY= 165, Frame=   180
   1,   17, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_017.png', cX=1890, cY= 166, Frame=   181
   1,   18, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_018.png', cX=1908, cY= 166, Frame=   182
   1,   19, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_019.png', cX=1926, cY= 167, Frame=   183
   1,   20, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_020.png', cX=1945, cY= 167, Frame=   184
   1,   21, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_021.png', cX=1964, cY= 167, Frame=   185
   1,   22, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_022.png', cX=1982, cY= 167, Frame=   186
   1,   23, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_023.png', cX=2000, cY= 168, Frame=   187
   1,   24, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_024.png', cX=2018, cY= 168, Frame=   188
   1,   25, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_025.png', cX=2036, cY= 168, Frame=   189
   1,   26, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_026.png', cX=2054, cY= 169, Frame=   190
   1,   27, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 3\Images_001\Object_001\Image_027.png', cX=2072, cY= 168, Frame=   191
