   1,    1, '..\VideoTestCases\1-3-25 Ostracod Runs Image 4\Images_001\Object_001\Image_001.png', cX=1439, cY=1250, Frame=   150
   1,    2, '..\VideoTestCases\1-3-25 Ostracod Runs Image 4\Images_001\Object_001\Image_002.png', cX=1486, cY=1250, Frame=   151
   1,    3, '..\VideoTestCases\1-3-25 Ostracod Runs Image 4\Images_001\Object_001\Image_003.png', cX=1530, cY=1249, Frame=   152
   1,    4, '..\VideoTestCases\1-3-25 Ostracod Runs Image 4\Images_001\Object_001\Image_004.png', cX=1574, cY=1248, Frame=   153
   1,    5, '..\VideoTestCases\1-3-25 Ostracod Runs Image 4\Images_001\Object_001\Image_005.png', cX=1620, cY=1248, Frame=   154
   1,    6, '..\VideoTestCases\1-3-25 Ostracod Runs Image 4\Images_001\Object_001\Image_006.png', cX=1663, cY=1247, Frame=   155
   1,    7, '..\VideoTestCases\1-3-25 Ostracod Runs Image 4\Images_001\Object_001\Image_007.png', cX=1705, cY=1246, Frame=   156
   1,    8, '..\VideoTestCases\1-3-25 Ostracod Runs Image 4\Images_001\Object_001\Image_008.png', cX=1750, cY=1246, Frame=   157
   1,    9, '..\VideoTestCases\1-3-25 Ostracod Runs Image 4\Images_001\Object_001\Image_009.png', cX=1793, cY=1245, Frame=   158
   1,   10, '..\VideoTestCases\1-3-25 Ostracod Runs Image 4\Images_001\Object_001\Image_010.png', cX=1835, cY=1244, Frame=   159
   1,   11, '..\VideoTestCases\1-3-25 Ostracod Runs Image 4\Images_001\Object_001\Image_011.png', cX=1876, cY=1243, Frame=   160
   1,   12, '..\VideoTestCases\1-3-25 Ostracod Runs Image 4\Images_001\Object_001\Image_012.png', cX=1917, cY=1244, Frame=   161
   1,   13, '..\VideoTestCases\1-3-25 Ostracod Runs Image 4\Images_001\Object_001\Image_013.png', cX=1958, cY=1243, Frame=   162
   1,   14, '..\VideoTestCases\1-3-25 Ostracod Runs Image 4\Images_001\Object_001\Image_014.png', cX=1997, cY=1242, Frame=   163
