   1,    1, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_001.png', cX=  38, cY= 994, Frame=   184
   1,    2, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_002.png', cX=  74, cY= 994, Frame=   185
   1,    3, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_003.png', cX= 106, cY= 993, Frame=   186
   1,    4, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_004.png', cX= 137, cY= 993, Frame=   187
   1,    5, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_005.png', cX= 167, cY= 991, Frame=   188
   1,    6, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_006.png', cX= 199, cY= 990, Frame=   189
   1,    7, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_007.png', cX= 230, cY= 991, Frame=   190
   1,    8, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_008.png', cX= 264, cY= 990, Frame=   191
   1,    9, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_009.png', cX= 297, cY= 989, Frame=   192
   1,   10, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_010.png', cX= 332, cY= 989, Frame=   193
   1,   11, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_011.png', cX= 367, cY= 988, Frame=   194
   1,   12, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_012.png', cX= 402, cY= 987, Frame=   195
   1,   13, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_013.png', cX= 438, cY= 986, Frame=   196
   1,   14, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_014.png', cX= 473, cY= 986, Frame=   197
   1,   15, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_015.png', cX= 509, cY= 985, Frame=   198
   1,   16, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_016.png', cX= 544, cY= 985, Frame=   199
   1,   17, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_017.png', cX= 579, cY= 984, Frame=   200
   1,   18, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_018.png', cX= 614, cY= 985, Frame=   201
   1,   19, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_019.png', cX= 646, cY= 984, Frame=   202
   1,   20, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_020.png', cX= 679, cY= 984, Frame=   203
   1,   21, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_021.png', cX= 713, cY= 983, Frame=   204
   1,   22, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_022.png', cX= 746, cY= 982, Frame=   205
   1,   23, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_023.png', cX= 778, cY= 982, Frame=   206
   1,   24, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_024.png', cX= 811, cY= 981, Frame=   207
   1,   25, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_025.png', cX= 844, cY= 979, Frame=   208
   1,   26, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_026.png', cX= 877, cY= 979, Frame=   209
   1,   27, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_027.png', cX= 910, cY= 978, Frame=   210
   1,   28, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_001\Image_028.png', cX= 942, cY= 978, Frame=   211
   2,    1, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_002\Image_001.png', cX=1150, cY= 292, Frame=   314
   2,    2, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_002\Image_002.png', cX=1182, cY= 293, Frame=   315
   2,    3, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_002\Image_003.png', cX=1214, cY= 293, Frame=   316
   3,    1, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_003\Image_001.png', cX=1341, cY= 293, Frame=   320
   3,    2, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_003\Image_002.png', cX=1373, cY= 293, Frame=   321
   3,    3, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_003\Image_003.png', cX=1436, cY= 294, Frame=   323
   3,    4, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_003\Image_004.png', cX=1468, cY= 293, Frame=   324
   3,    5, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_003\Image_005.png', cX=1499, cY= 293, Frame=   325
   3,    6, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_003\Image_006.png', cX=1531, cY= 294, Frame=   326
   3,    7, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_003\Image_007.png', cX=1563, cY= 294, Frame=   327
   3,    8, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_003\Image_008.png', cX=1596, cY= 294, Frame=   328
   3,    9, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_003\Image_009.png', cX=1628, cY= 294, Frame=   329
   3,   10, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_003\Image_010.png', cX=1660, cY= 295, Frame=   330
   3,   11, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_003\Image_011.png', cX=1692, cY= 295, Frame=   331
   3,   12, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_003\Image_012.png', cX=1722, cY= 296, Frame=   332
   3,   13, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 3\Images_001\Object_003\Image_013.png', cX=1818, cY= 296, Frame=   335
