   1,    1, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_001\Image_001.png', cX=  60, cY= 690, Frame=   151
   2,    1, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_001.png', cX=  15, cY= 691, Frame=   185
   2,    2, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_002.png', cX=  61, cY= 690, Frame=   186
   2,    3, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_003.png', cX= 109, cY= 690, Frame=   187
   2,    4, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_004.png', cX= 156, cY= 690, Frame=   188
   2,    5, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_005.png', cX= 204, cY= 690, Frame=   189
   2,    6, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_006.png', cX= 250, cY= 689, Frame=   190
   2,    7, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_007.png', cX= 297, cY= 689, Frame=   191
   2,    8, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_008.png', cX= 342, cY= 689, Frame=   192
   2,    9, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_009.png', cX= 387, cY= 688, Frame=   193
   2,   10, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_010.png', cX= 431, cY= 688, Frame=   194
   2,   11, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_011.png', cX= 475, cY= 687, Frame=   195
   2,   12, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_012.png', cX= 519, cY= 686, Frame=   196
   2,   13, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_013.png', cX= 563, cY= 686, Frame=   197
   2,   14, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_014.png', cX= 605, cY= 686, Frame=   198
   2,   15, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_015.png', cX= 649, cY= 685, Frame=   199
   2,   16, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_016.png', cX= 691, cY= 684, Frame=   200
   3,    1, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_003\Image_001.png', cX= 214, cY= 936, Frame=   200
   2,   17, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_017.png', cX= 734, cY= 684, Frame=   201
   3,    2, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_003\Image_002.png', cX= 258, cY= 938, Frame=   201
   2,   18, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_018.png', cX= 777, cY= 684, Frame=   202
   3,    3, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_003\Image_003.png', cX= 304, cY= 938, Frame=   202
   2,   19, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_019.png', cX= 821, cY= 683, Frame=   203
   3,    4, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_003\Image_004.png', cX= 351, cY= 938, Frame=   203
   2,   20, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_020.png', cX= 864, cY= 682, Frame=   204
   3,    5, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_003\Image_005.png', cX= 395, cY= 939, Frame=   204
   2,   21, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_021.png', cX= 907, cY= 681, Frame=   205
   3,    6, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_003\Image_006.png', cX= 440, cY= 940, Frame=   205
   2,   22, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_022.png', cX= 951, cY= 681, Frame=   206
   3,    7, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_003\Image_007.png', cX= 485, cY= 941, Frame=   206
   2,   23, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_023.png', cX= 994, cY= 681, Frame=   207
   3,    8, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_003\Image_008.png', cX= 531, cY= 941, Frame=   207
   2,   24, '..\VideoTestCases\1-3-25 Ostracod Runs Image 5\Images_001\Object_002\Image_024.png', cX=1037, cY= 681, Frame=   208
