   1,    1, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_001\Image_001.png', cX= 119, cY=1410, Frame=   184
   2,    1, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_001.png', cX= 123, cY=1537, Frame=   189
   2,    2, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_002.png', cX= 163, cY=1538, Frame=   190
   2,    3, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_003.png', cX= 203, cY=1538, Frame=   191
   2,    4, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_004.png', cX= 244, cY=1540, Frame=   192
   2,    5, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_005.png', cX= 283, cY=1540, Frame=   193
   2,    6, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_006.png', cX= 323, cY=1539, Frame=   194
   2,    7, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_007.png', cX= 362, cY=1539, Frame=   195
   2,    8, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_008.png', cX= 401, cY=1540, Frame=   196
   2,    9, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_009.png', cX= 440, cY=1541, Frame=   197
   2,   10, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_010.png', cX= 479, cY=1541, Frame=   198
   2,   11, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_011.png', cX= 518, cY=1540, Frame=   199
   2,   12, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_012.png', cX= 557, cY=1540, Frame=   200
   2,   13, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_013.png', cX= 596, cY=1541, Frame=   201
   2,   14, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_014.png', cX= 634, cY=1540, Frame=   202
   2,   15, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_015.png', cX= 674, cY=1540, Frame=   203
   2,   16, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_016.png', cX= 712, cY=1540, Frame=   204
   2,   17, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_017.png', cX= 751, cY=1539, Frame=   205
   2,   18, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_018.png', cX= 788, cY=1539, Frame=   206
   2,   19, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_019.png', cX= 826, cY=1539, Frame=   207
   2,   20, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_020.png', cX=1049, cY=1535, Frame=   213
   2,   21, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_021.png', cX=1087, cY=1535, Frame=   214
   2,   22, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_022.png', cX=1125, cY=1534, Frame=   215
   2,   23, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_023.png', cX=1163, cY=1534, Frame=   216
   2,   24, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_024.png', cX=1199, cY=1534, Frame=   217
   2,   25, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_025.png', cX=1235, cY=1533, Frame=   218
   2,   26, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_026.png', cX=1272, cY=1532, Frame=   219
   2,   27, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_027.png', cX=1308, cY=1532, Frame=   220
   2,   28, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_002\Image_028.png', cX=1345, cY=1532, Frame=   221
   3,    1, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_003\Image_001.png', cX= 216, cY=1136, Frame=   262
   4,    1, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_004\Image_001.png', cX= 707, cY=1072, Frame=   262
   3,    2, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_003\Image_002.png', cX= 253, cY=1138, Frame=   263
   4,    2, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_004\Image_002.png', cX= 743, cY=1072, Frame=   263
   3,    3, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_003\Image_003.png', cX= 291, cY=1137, Frame=   264
   4,    3, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_004\Image_003.png', cX= 778, cY=1071, Frame=   264
   3,    4, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_003\Image_004.png', cX= 328, cY=1133, Frame=   265
   4,    4, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_004\Image_004.png', cX= 813, cY=1070, Frame=   265
   3,    5, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_003\Image_005.png', cX= 366, cY=1135, Frame=   266
   4,    5, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_004\Image_005.png', cX= 848, cY=1069, Frame=   266
   3,    6, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_003\Image_006.png', cX= 402, cY=1135, Frame=   267
   4,    6, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_004\Image_006.png', cX= 883, cY=1069, Frame=   267
   3,    7, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_003\Image_007.png', cX= 438, cY=1134, Frame=   268
   4,    7, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_004\Image_007.png', cX= 917, cY=1069, Frame=   268
   3,    8, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 5\Images_001\Object_003\Image_008.png', cX= 475, cY=1132, Frame=   269
